count,nisin,day,temperature,ph,strain,inoculum,milk_batch,milk_age,milk_apc,cheese_make,cheese_plate,rep
285650000,Y,7,14,6.5,5624,21700000,13-Jan-17,11,0,3-Jan-17,d,2
645000000,Y,7,14,6.5,5625,26600000,13-Jan-17,11,0,3-Jan-17,d,2
653500000,N,14,14,6.5,10403S,31800000,13-Jan-17,11,0,3-Jan-17,e,2
511850000,N,14,14,6.5,5621,30900000,13-Jan-17,11,0,3-Jan-17,e,2
1430000000,N,14,14,6.5,5623,41400000,13-Jan-17,11,0,3-Jan-17,e,2
1044500000,N,14,14,6.5,5624,21700000,13-Jan-17,11,0,3-Jan-17,e,2
1790000000,N,14,14,6.5,5625,26600000,13-Jan-17,11,0,3-Jan-17,e,2
203250000,Y,14,14,6.5,10403S,31800000,13-Jan-17,11,0,3-Jan-17,f,2
902000000,Y,14,14,6.5,5621,30900000,13-Jan-17,11,0,3-Jan-17,f,2
580000000,Y,14,14,6.5,5623,41400000,13-Jan-17,11,0,3-Jan-17,f,2
769500000,Y,14,14,6.5,5624,21700000,13-Jan-17,11,0,3-Jan-17,f,2
937000000,Y,14,14,6.5,5625,26600000,13-Jan-17,11,0,3-Jan-17,f,2
630500000,N,1,14,6.5,10403S,7500000,20-Jan-17,11,10,10-Jan-17,a,3
1107000000,N,1,14,6.5,5621,22200000,20-Jan-17,11,10,10-Jan-17,a,3
989500000,N,1,14,6.5,5623,28000000,20-Jan-17,11,10,10-Jan-17,a,3
1655000000,N,1,14,6.5,5624,18400000,20-Jan-17,11,10,10-Jan-17,a,3
783500000,N,1,14,6.5,5625,22800000,20-Jan-17,11,10,10-Jan-17,a,3
755000,Y,1,14,6.5,10403S,7500000,20-Jan-17,11,10,10-Jan-17,b,3
2125000,Y,1,14,6.5,5621,22200000,20-Jan-17,11,10,10-Jan-17,b,3
789500,Y,1,14,6.5,5623,28000000,20-Jan-17,11,10,10-Jan-17,b,3
515000,Y,1,14,6.5,5624,18400000,20-Jan-17,11,10,10-Jan-17,b,3
3780000,Y,1,14,6.5,5625,22800000,20-Jan-17,11,10,10-Jan-17,b,3
679000000,N,7,14,6.5,10403S,7500000,20-Jan-17,11,10,10-Jan-17,c,3
1395500000,N,7,14,6.5,5621,22200000,20-Jan-17,11,10,10-Jan-17,c,3
1830000000,N,7,14,6.5,5623,28000000,20-Jan-17,11,10,10-Jan-17,c,3
1595000000,N,7,14,6.5,5624,18400000,20-Jan-17,11,10,10-Jan-17,c,3
